Project	DurationInDays	DurationInMonths	DurationInYears	#Commits	#Tables@Start	#Tables@End	#Attrs@Start	#Attrs@End	TotalTableInsertions	TotalTableDeletions	TotalAttrInsWithTableIns	TotalAttrbDelWithTableDel	TotalAttrInjected	TotalAttrEjected	TatalAttrWithTypeUpd	TotalAttrInPKUpd	TotalExpansion	TotalMaintenance	TotalTotalAttrActivity	ExpansionRatePerCommit	ExpansionRatePerMonth	ExpansionRatePeryear	MaintenanceRatePerCommit	MaintenanceRatePerMonth	MaintenanceRatePeryear	TotalAttrActivityRatePerCommit	TotalAttrActivityRatePerMonth	TotalAttrActivityRatePeryear	Resizingratio
Atlas	971	3	32	85	56	73	709	858	34	17	233	122	154	116	245	1	1096	484	1580	12.894117647058824	365.3333333333333	34.25	5.694117647058824	161.33333333333334	15.125	18.58823529411765	526.6666666666666	49.375	1.3035714285714286
Egee				17	6	10	34	71	6	2	31	10	28	12	18	1	93	41	134	5.470588235294118			2.411764705882353			7.882352941176471			1.6666666666666667
